id,ItemCode,Description,Grade,PriceList,MegaCode
null,TJY18011,06IR5501,PR1115,755,KKTJY18011
null,TJY18055,06IR60005,PR1115,755,KKTJY18055
null,TJY18016,08IR5501,PR1115,755,KKTJY18016
null,TJY18060,08IR60007,PR1115,755,KKTJY18060
null,TJY18307,11IL100ISO,PR1115,785,KKTJY18307
null,TJY18311,11IL150ISO,PR1115,785,KKTJY18311
null,TWF18302,11IR050ISO,GW15,725,KKTWF18302
null,TJY18302,11IR050ISO,PR1115,785,KKTJY18302
null,TSB01198,11IR050ISO,TC60M,555,KKTSB01198
null,TWF18304,11IR075ISO,GW15,725,KKTWF18304
null,TJY18304,11IR075ISO,PR1115,785,KKTJY18304
null,TSB01199,11IR075ISO,TC60M,555,KKTSB01199
null,TWF18306,11IR100ISO,GW15,725,KKTWF18306
null,TJY18306,11IR100ISO,PR1115,785,KKTJY18306
null,TSB01200,11IR100ISO,TC60M,555,KKTSB01200
null,TJY18426,11IR100ISO-TF,PR1115,370,KKTJY18426
null,TWF18308,11IR125ISO,GW15,725,KKTWF18308
null,TJY18308,11IR125ISO,PR1115,785,KKTJY18308
null,TSB01205,11IR125ISO,TC60M,555,KKTSB01205
null,TJY18428,11IR125ISO-TF,PR1115,370,KKTJY18428
null,TWF18547,11IR14BSPT,GW15,725,KKTWF18547
null,TJY18686,11IR14BSPT,PR1115,785,KKTJY18686
null,TSB01320,11IR14BSPT,TC60M,555,KKTSB01320
null,TJY18657,11IR14BSPT-TF,PR1115,370,KKTJY18657
null,TWF18310,11IR150ISO,GW15,725,KKTWF18310
null,TJY18310,11IR150ISO,PR1115,785,KKTJY18310
null,TSB01210,11IR150ISO,TC60M,555,KKTSB01210
null,TJY18430,11IR150ISO-TF,PR1115,370,KKTJY18430
null,TJY18312,11IR175ISO,PR1115,785,KKTJY18312
null,TSB01215,11IR175ISO,TC60M,555,KKTSB01215
null,TJY18432,11IR175ISO-TF,PR1115,370,KKTJY18432
null,TWF18545,11IR19BSPT,GW15,725,KKTWF18545
null,TJY18684,11IR19BSPT,PR1115,785,KKTJY18684
null,TSB01318,11IR19BSPT,TC60M,555,KKTSB01318
null,TJY18655,11IR19BSPT-TF,PR1115,370,KKTJY18655
null,TJY18314,11IR200ISO,PR1115,785,KKTJY18314
