id,code,company,address1,address2,TEL,FAX,tax
null,DA0001,บริษัท เอพิร็อค (ประเทศไทย) จำกัด,125 ม.9 นิคมอุตสาหกรรมเวลโกรว์ ถ.บางนา-ตราด กม.36,ต.บางวัว อ.บางปะกง จ.ฉะเชิงเทรา 24130,038-562930,038-562904,0245560001641
null,DC0001,บริษัท ซีเค ทูลส์ จำกัด,99/8 ซ.แจ้งวัฒนะ 1 แขวง ตลาดบางเขน,เขต หลักสี่   กทม  10210,02-973-2773,02-973-2772,-
null,DF0001,บริษัท ฟูจิทูลลิ่ง จำกัด,19/315 ม.2 ซ.วิถาวดี 60 ถ.วิภาวดีรังสิต,เเขวงบางเขน  เขตหลักสี่   กทม 10210,02-579-4433,02-579-8409,-
null,DF0002,บริษัท เอฟ ดี เอ็ม เทคโนโลยี จำกัด,888/3 ถนนศรีนครินทร์ แขวงพัฒนาการ,เขตสวนหลวง  กรุงเทพมหานคร 10250,02-347-6255,02-3476256,010554511522
null,DF0003,บริษัท ฟอซ ลิ้งค์ จำกัด,99/53 ม.5 ถ.สุขาภิบาล2 แขวงดอกไม้,เขตประเวศ กรุงเทพฯ 10250,02-750-0005,02-750-2704,-
null,DG0001,บริษัท โกรว์ ไวด์ เทคโนโลยี จำกัด,10/19  ถ.ราเมศวร  ต.ประตูชัย,อ.พระนครศรีอยุธยา จ.พระนครศรีอยุธยา 13000,035-324-046,035-245-790,0145549000619
null,DG0002,บริษัท ไกรนด์เทค จำกัด,99/37 หมู่ 6 ต.ศาลายา,อ.พุทธมณฑล  จ.นครปฐม  73170,02-441-5481,02-441-5482,0105546004109
null,DG0003,บริษัท จี.พี.คอมพิวเตอร์ จำกัด,78/228  หมู่ 6 ต.บึงคำพร้อย,อ.ลำลูกกา จ.ปทุมธานี  12150,02-152-1323,02-153-1323,0135550000635
null,DG0004,ห้างหุ้นส่วนจำกัด จีเอ็ม ลาเบล แอนด์ บาร์โคด ซิสเต็ม,1/49 ซ.พระยาสุเรนทร์ 39,แขวงสามวาจะวันตก เขตคลองสามวา กทม. 10510,081-205-4317,-,-
null,DI0001,บริษัท ไอเดีย เทรด แอนด์ ซัพพอร์ท จำกัด,228/1  ถ.สันติเกษม ต.แสนสุข,อ.เมืองชลบุรี จ.ชลบุรี 20130,038-391-680,038-391-680,-
null,DI0002,บริษัท อีสคาร์(ไทยแลนด์) จำกัด,"57,59,61,63 ซ.สมานฉันท์-บาโบส ถ.สุขุมวิท",พระโขนง  คลองเตย  กทม 10110,027136633,-,-
null,DI0003,บริษัท อินเตอร์ทูลไทย จำกัด,907 ม.15 ต.บางเสาธง,อ.บางเสาธง จ.สมุทรปราการ 10540,02-706-0899,02-313-1114,0115554011640
null,DI0004,บริษัท อินดัสทรีเมท จำกัด,19/6 ซ.พระราม2 ซ.28 แยก 12,แขวงบางมด เขตจอมทอง กทม 10150,02-877-0055,02-8770099,-
null,DJ0001,บริษัท จัวเยียะ (ไทยแลนด์) จำกัด,1588/1 บ้านกลางกรุง ถ.บางนา-ตราด,บางนา กรุงเทพฯ 10260,02-1820581-6,02-1820587,-
null,DJ0002,บริษัท จ.ศรีรุ่งเรืองอิมเป็กซ์ จำกัด,850/1 ซ.ลาดกระบัง 30/5 ถ.ลาดกระบัง,เขตลาดกระบัง กทม. 10520,02-327-0351-5,02-327-0356-7,-
null,DJ0003,ห้างหุ้นส่วนจำกัด จินดาทรัพย์กลการ,226/71 ม.6 ถ.ประชาสโมสร ต.ในเมือง,อ.เมืองขอนแก่น จ.ขอนแก่น 40000,081-570-4579,043-245727,-
null,DK0001,บริษัท คราเด็กซ์ จำกัด,59/203  หมู่ 16 ต.บางแก้ว,อ.บางพลี  จ.สมุทรปราการ  10540,02-349-4081,02-383-4732,0115547006725
null,DK0002,บริษัท เกียงไทยวัฒนา อินเตอร์เทรด จำกัด,634  ถ.พระราม 2 แขวงบางมด,เขตจอมทอง กรุงเทพ 10150,02-811-7499,02-811-7475,0105551103799
null,DK0003,บริษัท เคียวเซกิ ทูลส์ จำกัด,23 ม4 นิคมอุตสาหกรรมลาดกระบัง ซ.ฉลองกรุง31,แขวงลำปลาทิว เขตลาดกระบัง กรุงเทพมหานคร 10520,02-739-6491-4,02-7396495,0105557039863
null,DK0004,บริษัท กรุงเทพหินเจียร จำกัด,59/6 ม.4 ต.บางแก้ว อ.บางพลี,จ.สมุทรปราการ 10540,02-753-5357,02-703-0300,-
null,DK0005,บริษัท เกรียงกมล 2009 จำกัด,44 ถ.เยาวราช แขวงจักรวรรดิ,เขตสัมพันธวงศ์ กรุงเทพฯ 10100,02-811-7499,02-811-7475-5,-
